!2 Gueltige Kombinationen

!|FirstLightSwitchingCrossingController             |
|erste Ampel|zweite Ampel|erste Ampel?|zweite Ampel?|
|Grün       |Rot         |Gelb        |Rot          |
|Gelb       |Rot         |Rot         |Rot          |
|Rot, Gelb  |Rot         |Grün        |Rot          |
|Rot        |Rot         |Rot, Gelb   |Rot          |

!2 Ungueltige Kombinationen

!|FirstLightSwitchingCrossingController                |
|erste Ampel  |zweite Ampel|erste Ampel? |zweite Ampel?|
|Grün         |Rot, Gelb   |Gelb blinkend|Gelb blinkend|
|Grün         |Grün        |Gelb blinkend|Gelb blinkend|
|Grün         |Gelb        |Gelb blinkend|Gelb blinkend|
|Gelb         |Rot, Gelb   |Gelb blinkend|Gelb blinkend|
|Gelb         |Grün        |Gelb blinkend|Gelb blinkend|
|Gelb         |Gelb        |Gelb blinkend|Gelb blinkend|
|Rot, Gelb    |Rot, Gelb   |Gelb blinkend|Gelb blinkend|
|Rot, Gelb    |Grün        |Gelb blinkend|Gelb blinkend|
|Rot, Gelb    |Gelb        |Gelb blinkend|Gelb blinkend|
|Rot          |Rot, Gelb   |Gelb blinkend|Gelb blinkend|
|Rot          |Grün        |Gelb blinkend|Gelb blinkend|
|Rot          |Gelb        |Gelb blinkend|Gelb blinkend|
|Gelb blinkend|Rot         |Gelb blinkend|Gelb blinkend|
|Gelb blinkend|Rot, Gelb   |Gelb blinkend|Gelb blinkend|
|Gelb blinkend|Grün        |Gelb blinkend|Gelb blinkend|
|Gelb blinkend|Gelb        |Gelb blinkend|Gelb blinkend|

